S,Rem,Prandtl,colIndex,nusselt
0.6,2827.3880968302433,0.7098435803104706,1,50.22851016016092
0.6,2827.3880968302433,0.7098340339720597,2,42.44500550815761
0.6,2355.8770840148827,0.7098249315394689,3,36.89820712209004
0.6,2037.3984974086982,0.7098161692923642,4,33.07859309070859
0.6,1884.3911874448363,0.7098075446812511,5,29.91801295146104
0.6,1808.6706985300102,0.7097989366630902,6,26.516923425796254
0.6,1739.5973888831516,0.7097902707720732,7,24.533127940949033
0.6,1624.7890223585903,0.7097816809604531,8,22.661837624073577
0.6,1558.3927774321432,0.7097731556301845,9,20.92983103681344
0.6,1537.7508863723635,0.7097647005235822,10,19.871281950713186
0.6,2827.3880968302433,0.7098435803104706,1,50.2320564983096
0.6,2827.3880968302433,0.7098328617483899,2,42.42991898199015
0.6,2355.804079920284,0.7098225877212953,3,36.89180144931233
0.6,2037.2722254860241,0.7098126544755765,4,33.0667864240077
0.6,1884.216001636106,0.709802859454766,5,29.909698188794287
0.6,1808.4465005384893,0.7097930816219312,6,26.505087045750074
0.6,1739.327840587436,0.7097832465240136,7,24.525293261606187
0.6,1624.4869077156354,0.7097734880883599,8,22.655962200724346
0.6,1558.0547093743226,0.7097637947124088,9,20.92289692852217
