S,Vmfn,Rem,Dfn,colIndex,frictionFactor
0.6,0.16243308025142503,1735.2655229958189,1.0216764902763804,7,6.893369588363333
0.6,0.15516107970795784,1663.2627968171228,1.021489465189205,8,6.782080880111411
0.6,0.15366425397737898,1588.280747633103,1.0213036856686952,9,6.09314839371196
0.6,0.14523306926625973,1572.448226857754,1.0211165190400748,10,8.050740808245404
0.6,0.14919867201608858,1485.6858442270268,1.0209318386868427,11,7.77834503052504
0.6,0.15051863788037245,1525.7601760069647,1.020746638077034,12,6.743573275812728
0.6,0.1475566241079068,1538.760553400912,1.0205605757241243,13,7.325158368565823
0.6,0.1487168455768274,1507.9893121484808,1.0203753405170892,14,8.458762876810024
0.6,0.2725011178617673,2795.9117133529903,1.0228215767634854,1,5.288080290235409
0.6,0.23832826486925843,2795.9117133529903,1.0226031666598514,2,4.524560925017282
0.6,0.20725746132047523,2444.3591986359866,1.0223871917734526,3,5.370552963257138
0.6,0.18587245836717378,2124.8867978387025,1.0221748830131854,4,7.2165265172332385
0.6,0.18106456698724788,1904.932495837866,1.021967052919513,5,5.61615840845533
0.6,0.16940944993334342,1854.9847012060989,1.0217576585744337,6,6.534403315443881
0.6,0.16243308025142503,1734.944612752462,1.0215494575795623,7,6.8942267992624
0.6,0.15516107970795784,1662.8936753436105,1.0213412605360288,8,6.783065013410915
0.6,0.15366425397737898,1587.8695107356239,1.0211343091036809,9,6.094159070305478
0.6,0.14523306926625973,1571.9829166346578,1.0209259706097384,10,8.052243420646516
0.6,0.14919867201608858,1485.1912427751467,1.0207201184341637,11,7.779958433793522
0.6,0.15051863788037245,1525.1957830186643,1.0205137460475955,12,6.745112230551902
0.6,0.1475566241079068,1538.134417538964,1.020306511964122,13,7.326982386403509
0.6,0.1487168455768274,1507.3198994044299,1.0201001050706817,14,8.461045154171707
0.6,0.2725011178617673,2795.9117133529903,1.0228215767634854,1,5.288080290235409
0.6,0.23832826486925843,2795.9117133529903,1.0225808503869023,2,4.524659666683078
0.6,0.20725746132047523,2444.263912402201,1.0223425592830042,3,5.370787425915138
0.6,0.18587245836717378,2124.7211283407896,1.0221079343595012,4,7.216999203843295
0.6,0.18106456698724788,1904.7097093015707,1.0218777881552257,5,5.616649000444257
0.6,0.16940944993334342,1854.695433875209,1.0216460777534786,6,6.53511698146019
0.6,0.16243308025142503,1734.606418809103,1.0214155607547706,7,6.895130559801482
0.6,0.15516107970795784,1662.5046866250273,1.0211850477606632,8,6.784102632805709
0.6,0.15366425397737898,1587.4361543269729,1.0209557804299472,9,6.095224720901907
